"Extension","Publisher","Link"
"Auto Comment Blocks (DM support)","stylemistake","https://marketplace.visualstudio.com/items?itemName=stylemistake.auto-comment-blocks"
"AutoHotkey Plus Plus","Mark Wiemer","https://marketplace.visualstudio.com/items?itemName=mark-wiemer.vscode-autohotkey-plus-plus"
"AutoHotkey v2 Language Support","thqby","https://marketplace.visualstudio.com/items?itemName=thqby.vscode-autohotkey2-lsp"
"Better Comments","Aaron Bond","https://marketplace.visualstudio.com/items?itemName=aaron-bond.better-comments"
"Bracket Select","Chunsen Wang","https://marketplace.visualstudio.com/items?itemName=chunsen.bracket-select"
"change-case","wmaurer","https://marketplace.visualstudio.com/items?itemName=wmaurer.change-case"
"Code Spell Checker","Street Side Software","https://marketplace.visualstudio.com/items?itemName=streetsidesoftware.code-spell-checker"
"CodeMap","Oleg Shilo","https://marketplace.visualstudio.com/items?itemName=oleg-shilo.codemap"
"Comment Box","SlySherZ","https://marketplace.visualstudio.com/items?itemName=SlySherZ.comment-box"
"Edit csv","janisdd","https://marketplace.visualstudio.com/items?itemName=janisdd.vscode-edit-csv"
"EditorConfig for VS Code","EditorConfig","https://marketplace.visualstudio.com/items?itemName=EditorConfig.EditorConfig"
"Git History","Don Jayamanne","https://marketplace.visualstudio.com/items?itemName=donjayamanne.githistory"
"GitLens","GitKraken","https://marketplace.visualstudio.com/items?itemName=eamodio.gitlens"
"Grammarly","Rahul Kadyan","https://marketplace.visualstudio.com/items?itemName=znck.grammarly"
"Increment Selection","Alberto Morato","https://marketplace.visualstudio.com/items?itemName=albymor.increment-selection"
"Markdown Preview Github Styling","Matt Bierner","https://marketplace.visualstudio.com/items?itemName=bierner.markdown-preview-github-styles"
"Material Icon Theme","Philipp Kief","https://marketplace.visualstudio.com/items?itemName=PKief.material-icon-theme"
"Monokai Pro","monokai","https://marketplace.visualstudio.com/items?itemName=monokai.theme-monokai-pro-vscode"
"multi-command","ryuta46","https://marketplace.visualstudio.com/items?itemName=ryuta46.multi-command"
"Operate VSCode from AutoHotkey","zero-plusplus","https://marketplace.visualstudio.com/items?itemName=zero-plusplus.vscode-operate-from-autohotkey"
"PowerShell","Microsoft","https://marketplace.visualstudio.com/items?itemName=ms-vscode.powershell"
"Swap 🔁","Faustino Ntemo Kialungila","https://marketplace.visualstudio.com/items?itemName=fausto95.swap"
"vscode-autohotkey-debug","zero-plusplus","https://marketplace.visualstudio.com/items?itemName=zero-plusplus.vscode-autohotkey-debug"
